Model,TBS1102C
Firmware Version,v1.29.30

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,8e-08
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
4.880e-06,0.088
4.960e-06,0.084
5.040e-06,0.078
5.120e-06,0.072
5.200e-06,0.066
5.280e-06,0.06
5.360e-06,0.056
5.440e-06,0.054
5.520e-06,0.046
5.600e-06,0.042
5.680e-06,0.034
5.760e-06,0.034
5.840e-06,0.032
5.920e-06,0.03
6.000e-06,0.03
6.080e-06,0.032
6.160e-06,0.03
6.240e-06,0.032
6.320e-06,0.03
6.400e-06,0.03
6.480e-06,0.03
6.560e-06,0.024
6.640e-06,0.028
6.720e-06,0.024
6.800e-06,0.016
6.880e-06,0.014
6.960e-06,0.012
7.040e-06,0.006
7.120e-06,-2.38419e-09
7.200e-06,-0.004
7.280e-06,-0.008
7.360e-06,-0.01
7.440e-06,-0.014
